var_bool,var_signed_int,var_unsigned_int,var_float,var_str,var_date,var_timestamp,var_categorical,var_constant
True,2,2,-3.5,this,12.02.1992,1994-10-21 04:03:37,a,a
False,3,3,2.7,is,01.03.1989,2017-05-03 01:35:46,b,a
True,-4,4,4.6,a,13.05.2006,1981-10-23 06:55:57,b,a
False,-10,5,-100.7,test,11.12.2022,2013-04-12 11:44:26,a,a
True,200,6,,hello,02.04.1987,2001-04-29 16:04:09,a,a
False,1,7,4.3,hi,14.03.1996,1997-01-17 09:16:10,b,a
True,2,8,4.3,hi,12.02.1992,1961-10-29 11:12:22,b,a
True,-2,9,4.3,hi,01.03.1989,1978-07-11 08:32:47,a,a
True,-3,0,4.3,hi,13.05.2006,2018-10-16 12:32:45,b,a
False,-4,1,4.3,hi,25.08.2009,2012-05-01 06:50:06,b,a
True,-200,10,4.3,hi,06.10.2023,1993-07-09 13:09:51,b,a
True,-5,20,4.3,hi,14.03.1996,1978-08-22 22:19:36,b,a
False,1,7,4.3,hi,14.03.1996,1957-10-16 19:06:40,b,a
