var_bool,var_signed_int,var_unsigned_int,var_float,var_str,var_date,var_categorical,var_constant
True,2,2,-3.5,this,1994-10-21,a,a
False,3,3,2.7,is,2017-05-03,b,a
True,-4,4,4.6,a,1981-10-23,b,a
False,-10,5,-100.7,test,2013-04-12,a,a
True,200,6,,hello,2001-04-29,a,a
False,1,7,4.3,hi,1997-01-17,b,a
True,2,8,4.3,hi,1961-10-29,b,a
True,-2,9,4.3,hi,1978-07-11,a,a
True,-3,0,4.3,hi,2018-10-16,b,a
False,-4,1,4.3,hi,2012-05-01,b,a
True,-200,10,4.3,hi,1993-07-09,b,a
True,-5,20,4.3,hi,1978-08-22,b,a
False,1,7,4.3,hi,1957-10-16,b,a
